Province_Raw,ImmCategory,REF_DATE,Year,YearQtr,Admissions,Geo_Level
Newfoundland and Labrador - Total,Self-Employed,2017-Q1,2017,2017-Q1,,Provincial
Newfoundland and Labrador - Total,Start-up Business,2017-Q1,2017,2017-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,555.0,Provincial
Newfoundland and Labrador - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Children,2017-Q1,2017,2017-Q1,,Provincial
Newfoundland and Labrador - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,10.0,Provincial
Newfoundland and Labrador - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,10.0,Provincial
Newfoundland and Labrador - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,10.0,Provincial
Prince Edward Island - Total,Agri-Food Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Prince Edward Island - Total,Atlantic Immigration Pilot Programs,2017-Q1,2017,2017-Q1,0.0,Provincial
Prince Edward Island - Total,Atlantic Immigration Programs,2017-Q1,2017,2017-Q1,0.0,Provincial
Prince Edward Island - Total,Canadian Experience,2017-Q1,2017,2017-Q1,45.0,Provincial
Prince Edward Island - Total,Caregiver,2017-Q1,2017,2017-Q1,15.0,Provincial
Prince Edward Island - Total,Federal Economic Mobility Pathways Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Prince Edward Island - Total,Rural and Northern Immigration,2017-Q1,2017,2017-Q1,0.0,Provincial
Prince Edward Island - Total,Skilled Trade,2017-Q1,2017,2017-Q1,5.0,Provincial
Prince Edward Island - Total,Skilled Worker,2017-Q1,2017,2017-Q1,45.0,Provincial
Prince Edward Island - Total,Self-Employed,2017-Q1,2017,2017-Q1,5.0,Provincial
Prince Edward Island - Total,Start-up Business,2017-Q1,2017,2017-Q1,0.0,Provincial
Prince Edward Island - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,705.0,Provincial
Prince Edward Island - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Prince Edward Island - Total,Sponsored Children,2017-Q1,2017,2017-Q1,5.0,Provincial
Prince Edward Island - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,0.0,Provincial
Prince Edward Island - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,15.0,Provincial
Prince Edward Island - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,120.0,Provincial
Prince Edward Island - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,,Provincial
Prince Edward Island - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,95.0,Provincial
Prince Edward Island - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,75.0,Provincial
Nova Scotia - Total,Agri-Food Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Atlantic Immigration Pilot Programs,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Atlantic Immigration Programs,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Canadian Experience,2017-Q1,2017,2017-Q1,25.0,Provincial
Nova Scotia - Total,Caregiver,2017-Q1,2017,2017-Q1,5.0,Provincial
Nova Scotia - Total,Federal Economic Mobility Pathways Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Rural and Northern Immigration,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Skilled Trade,2017-Q1,2017,2017-Q1,,Provincial
Nova Scotia - Total,Skilled Worker,2017-Q1,2017,2017-Q1,10.0,Provincial
Nova Scotia - Total,Self-Employed,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Start-up Business,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,500.0,Provincial
Nova Scotia - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Sponsored Children,2017-Q1,2017,2017-Q1,,Provincial
Nova Scotia - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,,Provincial
Nova Scotia - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,15.0,Provincial
Nova Scotia - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,80.0,Provincial
Nova Scotia - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,0.0,Provincial
Nova Scotia - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,80.0,Provincial
Nova Scotia - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,15.0,Provincial
New Brunswick - Total,Canadian Experience,2017-Q1,2017,2017-Q1,0.0,Provincial
New Brunswick - Total,Caregiver,2017-Q1,2017,2017-Q1,75.0,Provincial
New Brunswick - Total,Skilled Worker,2017-Q1,2017,2017-Q1,5970.0,Provincial
New Brunswick - Total,Entrepreneur,2017-Q1,2017,2017-Q1,75.0,Provincial
New Brunswick - Total,Investor,2017-Q1,2017,2017-Q1,1260.0,Provincial
New Brunswick - Total,Self-Employed,2017-Q1,2017,2017-Q1,10.0,Provincial
New Brunswick - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,0.0,Provincial
New Brunswick - Total,Sponsored Children,2017-Q1,2017,2017-Q1,165.0,Provincial
New Brunswick - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,20.0,Provincial
New Brunswick - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,365.0,Provincial
New Brunswick - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,2150.0,Provincial
New Brunswick - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,0.0,Provincial
New Brunswick - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,480.0,Provincial
New Brunswick - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,1805.0,Provincial
Quebec - Total,Agri-Food Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Quebec - Total,Canadian Experience,2017-Q1,2017,2017-Q1,3370.0,Provincial
Quebec - Total,Caregiver,2017-Q1,2017,2017-Q1,2320.0,Provincial
Quebec - Total,Federal Economic Mobility Pathways Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Quebec - Total,Rural and Northern Immigration,2017-Q1,2017,2017-Q1,0.0,Provincial
Quebec - Total,Skilled Trade,2017-Q1,2017,2017-Q1,135.0,Provincial
Quebec - Total,Skilled Worker,2017-Q1,2017,2017-Q1,1875.0,Provincial
Quebec - Total,Entrepreneur,2017-Q1,2017,2017-Q1,0.0,Provincial
Quebec - Total,Investor,2017-Q1,2017,2017-Q1,,Provincial
Quebec - Total,Self-Employed,2017-Q1,2017,2017-Q1,65.0,Provincial
Quebec - Total,Start-up Business,2017-Q1,2017,2017-Q1,15.0,Provincial
Quebec - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,1835.0,Provincial
Quebec - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Quebec - Total,Sponsored Children,2017-Q1,2017,2017-Q1,400.0,Provincial
Quebec - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,25.0,Provincial
Quebec - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,2440.0,Provincial
Quebec - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,7070.0,Provincial
Quebec - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,105.0,Provincial
Quebec - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,1085.0,Provincial
Quebec - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,1745.0,Provincial
Ontario - Total,Agri-Food Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Ontario - Total,Canadian Experience,2017-Q1,2017,2017-Q1,45.0,Provincial
Ontario - Total,Caregiver,2017-Q1,2017,2017-Q1,20.0,Provincial
Ontario - Total,Federal Economic Mobility Pathways Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Ontario - Total,Rural and Northern Immigration,2017-Q1,2017,2017-Q1,0.0,Provincial
Ontario - Total,Skilled Trade,2017-Q1,2017,2017-Q1,,Provincial
Ontario - Total,Skilled Worker,2017-Q1,2017,2017-Q1,45.0,Provincial
Ontario - Total,Entrepreneur,2017-Q1,2017,2017-Q1,0.0,Provincial
Ontario - Total,Self-Employed,2017-Q1,2017,2017-Q1,0.0,Provincial
Ontario - Total,Start-up Business,2017-Q1,2017,2017-Q1,0.0,Provincial
Ontario - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,2285.0,Provincial
Ontario - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Ontario - Total,Sponsored Children,2017-Q1,2017,2017-Q1,35.0,Provincial
Ontario - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,,Provincial
Ontario - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,90.0,Provincial
Ontario - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,645.0,Provincial
Ontario - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,15.0,Provincial
Ontario - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,220.0,Provincial
Ontario - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,470.0,Provincial
Manitoba - Total,Agri-Food Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Manitoba - Total,Canadian Experience,2017-Q1,2017,2017-Q1,85.0,Provincial
Manitoba - Total,Caregiver,2017-Q1,2017,2017-Q1,65.0,Provincial
Manitoba - Total,Federal Economic Mobility Pathways Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Manitoba - Total,Rural and Northern Immigration,2017-Q1,2017,2017-Q1,0.0,Provincial
Manitoba - Total,Skilled Trade,2017-Q1,2017,2017-Q1,20.0,Provincial
Manitoba - Total,Skilled Worker,2017-Q1,2017,2017-Q1,40.0,Provincial
Manitoba - Total,Self-Employed,2017-Q1,2017,2017-Q1,,Provincial
Manitoba - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,2715.0,Provincial
Manitoba - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Manitoba - Total,Sponsored Children,2017-Q1,2017,2017-Q1,15.0,Provincial
Manitoba - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,0.0,Provincial
Manitoba - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,65.0,Provincial
Manitoba - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,555.0,Provincial
Manitoba - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,5.0,Provincial
Manitoba - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,115.0,Provincial
Manitoba - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,125.0,Provincial
Saskatchewan - Total,Agri-Food Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Saskatchewan - Total,Canadian Experience,2017-Q1,2017,2017-Q1,2555.0,Provincial
Saskatchewan - Total,Caregiver,2017-Q1,2017,2017-Q1,1220.0,Provincial
Saskatchewan - Total,Federal Economic Mobility Pathways Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Saskatchewan - Total,Rural and Northern Immigration,2017-Q1,2017,2017-Q1,0.0,Provincial
Saskatchewan - Total,Skilled Trade,2017-Q1,2017,2017-Q1,425.0,Provincial
Saskatchewan - Total,Skilled Worker,2017-Q1,2017,2017-Q1,700.0,Provincial
Saskatchewan - Total,Entrepreneur,2017-Q1,2017,2017-Q1,0.0,Provincial
Saskatchewan - Total,Investor,2017-Q1,2017,2017-Q1,0.0,Provincial
Saskatchewan - Total,Self-Employed,2017-Q1,2017,2017-Q1,,Provincial
Saskatchewan - Total,Start-up Business,2017-Q1,2017,2017-Q1,0.0,Provincial
Saskatchewan - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,2770.0,Provincial
Saskatchewan - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Saskatchewan - Total,Sponsored Children,2017-Q1,2017,2017-Q1,155.0,Provincial
Saskatchewan - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,30.0,Provincial
Saskatchewan - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,865.0,Provincial
Saskatchewan - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,3195.0,Provincial
Saskatchewan - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,15.0,Provincial
Saskatchewan - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,275.0,Provincial
Saskatchewan - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,685.0,Provincial
Alberta - Total,Agri-Food Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Alberta - Total,Canadian Experience,2017-Q1,2017,2017-Q1,1735.0,Provincial
Alberta - Total,Caregiver,2017-Q1,2017,2017-Q1,1105.0,Provincial
Alberta - Total,Federal Economic Mobility Pathways Pilot,2017-Q1,2017,2017-Q1,0.0,Provincial
Alberta - Total,Rural and Northern Immigration,2017-Q1,2017,2017-Q1,0.0,Provincial
Alberta - Total,Skilled Trade,2017-Q1,2017,2017-Q1,275.0,Provincial
Alberta - Total,Skilled Worker,2017-Q1,2017,2017-Q1,730.0,Provincial
Alberta - Total,Entrepreneur,2017-Q1,2017,2017-Q1,0.0,Provincial
Alberta - Total,Investor,2017-Q1,2017,2017-Q1,0.0,Provincial
Alberta - Total,Self-Employed,2017-Q1,2017,2017-Q1,40.0,Provincial
Alberta - Total,Start-up Business,2017-Q1,2017,2017-Q1,15.0,Provincial
Alberta - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,1840.0,Provincial
Alberta - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Alberta - Total,Sponsored Children,2017-Q1,2017,2017-Q1,110.0,Provincial
Alberta - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,,Provincial
Alberta - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,895.0,Provincial
Alberta - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,3140.0,Provincial
Alberta - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,30.0,Provincial
Alberta - Total,Government-Assisted Refugee,2017-Q1,2017,2017-Q1,200.0,Provincial
Alberta - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,300.0,Provincial
British Columbia - Total,Canadian Experience,2017-Q1,2017,2017-Q1,,Provincial
British Columbia - Total,Caregiver,2017-Q1,2017,2017-Q1,,Provincial
British Columbia - Total,Skilled Trade,2017-Q1,2017,2017-Q1,0.0,Provincial
British Columbia - Total,Skilled Worker,2017-Q1,2017,2017-Q1,,Provincial
British Columbia - Total,Self-Employed,2017-Q1,2017,2017-Q1,0.0,Provincial
British Columbia - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,40.0,Provincial
British Columbia - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
British Columbia - Total,Sponsored Children,2017-Q1,2017,2017-Q1,0.0,Provincial
British Columbia - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,0.0,Provincial
British Columbia - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,5.0,Provincial
British Columbia - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,20.0,Provincial
British Columbia - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,0.0,Provincial
British Columbia - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,,Provincial
Yukon - Total,Canadian Experience,2017-Q1,2017,2017-Q1,10.0,Provincial
Yukon - Total,Caregiver,2017-Q1,2017,2017-Q1,5.0,Provincial
Yukon - Total,Skilled Trade,2017-Q1,2017,2017-Q1,,Provincial
Yukon - Total,Skilled Worker,2017-Q1,2017,2017-Q1,,Provincial
Yukon - Total,Provincial Nominee Program,2017-Q1,2017,2017-Q1,45.0,Provincial
Yukon - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Yukon - Total,Sponsored Children,2017-Q1,2017,2017-Q1,0.0,Provincial
Yukon - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,0.0,Provincial
Yukon - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,0.0,Provincial
Yukon - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,20.0,Provincial
Yukon - Total,Blended Sponsorship Refugee,2017-Q1,2017,2017-Q1,0.0,Provincial
Yukon - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,0.0,Provincial
Northwest Territories - Total,Canadian Experience,2017-Q1,2017,2017-Q1,,Provincial
Northwest Territories - Total,Caregiver,2017-Q1,2017,2017-Q1,0.0,Provincial
Northwest Territories - Total,Skilled Trade,2017-Q1,2017,2017-Q1,0.0,Provincial
Northwest Territories - Total,Skilled Worker,2017-Q1,2017,2017-Q1,0.0,Provincial
Northwest Territories - Total,Temporary Resident to Permanent Resident Pathway,2017-Q1,2017,2017-Q1,0.0,Provincial
Northwest Territories - Total,Sponsored Children,2017-Q1,2017,2017-Q1,0.0,Provincial
Northwest Territories - Total,Sponsored Extended Family Member,2017-Q1,2017,2017-Q1,0.0,Provincial
Northwest Territories - Total,Sponsored Parent or Grandparent,2017-Q1,2017,2017-Q1,0.0,Provincial
Northwest Territories - Total,Sponsored Spouse or Partner,2017-Q1,2017,2017-Q1,5.0,Provincial
Northwest Territories - Total,Privately Sponsored Refugee,2017-Q1,2017,2017-Q1,0.0,Provincial
,Agri-Food Pilot,2017-Q2,2017,2017-Q2,0.0,Unknown
,Atlantic Immigration Pilot Programs,2017-Q2,2017,2017-Q2,0.0,Unknown
,Atlantic Immigration Programs,2017-Q2,2017,2017-Q2,0.0,Unknown
,Canadian Experience,2017-Q2,2017,2017-Q2,30.0,Unknown
,Caregiver,2017-Q2,2017,2017-Q2,10.0,Unknown
,Federal Economic Mobility Pathways Pilot,2017-Q2,2017,2017-Q2,0.0,Unknown
,Skilled Trade,2017-Q2,2017,2017-Q2,,Unknown
,Skilled Worker,2017-Q2,2017,2017-Q2,10.0,Unknown
,Self-Employed,2017-Q2,2017,2017-Q2,0.0,Unknown
,Start-up Business,2017-Q2,2017,2017-Q2,0.0,Unknown
,Provincial Nominee Program,2017-Q2,2017,2017-Q2,150.0,Unknown
,Temporary Resident to Permanent Resident Pathway,2017-Q2,2017,2017-Q2,0.0,Unknown
,Sponsored Children,2017-Q2,2017,2017-Q2,,Unknown
,Sponsored Extended Family Member,2017-Q2,2017,2017-Q2,0.0,Unknown
,Sponsored Parent or Grandparent,2017-Q2,2017,2017-Q2,10.0,Unknown
,Sponsored Spouse or Partner,2017-Q2,2017,2017-Q2,55.0,Unknown
,Blended Sponsorship Refugee,2017-Q2,2017,2017-Q2,5.0,Unknown
,Government-Assisted Refugee,2017-Q2,2017,2017-Q2,45.0,Unknown
,Privately Sponsored Refugee,2017-Q2,2017,2017-Q2,10.0,Unknown
Newfoundland and Labrador - Total,Agri-Food Pilot,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Atlantic Immigration Pilot Programs,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Atlantic Immigration Programs,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Canadian Experience,2017-Q2,2017,2017-Q2,15.0,Provincial
Newfoundland and Labrador - Total,Caregiver,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Federal Economic Mobility Pathways Pilot,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Skilled Trade,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Skilled Worker,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Self-Employed,2017-Q2,2017,2017-Q2,,Provincial
Newfoundland and Labrador - Total,Start-up Business,2017-Q2,2017,2017-Q2,,Provincial
Newfoundland and Labrador - Total,Provincial Nominee Program,2017-Q2,2017,2017-Q2,580.0,Provincial
Newfoundland and Labrador - Total,Temporary Resident to Permanent Resident Pathway,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Children,2017-Q2,2017,2017-Q2,,Provincial
Newfoundland and Labrador - Total,Sponsored Extended Family Member,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Parent or Grandparent,2017-Q2,2017,2017-Q2,10.0,Provincial
Newfoundland and Labrador - Total,Sponsored Spouse or Partner,2017-Q2,2017,2017-Q2,25.0,Provincial
Newfoundland and Labrador - Total,Blended Sponsorship Refugee,2017-Q2,2017,2017-Q2,0.0,Provincial
Newfoundland and Labrador - Total,Government-Assisted Refugee,2017-Q2,2017,2017-Q2,10.0,Provincial
Newfoundland and Labrador - Total,Privately Sponsored Refugee,2017-Q2,2017,2017-Q2,,Provincial
Prince Edward Island - Total,Agri-Food Pilot,2017-Q2,2017,2017-Q2,0.0,Provincial
Prince Edward Island - Total,Atlantic Immigration Pilot Programs,2017-Q2,2017,2017-Q2,0.0,Provincial
Prince Edward Island - Total,Atlantic Immigration Programs,2017-Q2,2017,2017-Q2,0.0,Provincial
Prince Edward Island - Total,Canadian Experience,2017-Q2,2017,2017-Q2,45.0,Provincial
Prince Edward Island - Total,Caregiver,2017-Q2,2017,2017-Q2,20.0,Provincial
Prince Edward Island - Total,Federal Economic Mobility Pathways Pilot,2017-Q2,2017,2017-Q2,0.0,Provincial
Prince Edward Island - Total,Rural and Northern Immigration,2017-Q2,2017,2017-Q2,0.0,Provincial
Prince Edward Island - Total,Skilled Trade,2017-Q2,2017,2017-Q2,,Provincial
Prince Edward Island - Total,Skilled Worker,2017-Q2,2017,2017-Q2,20.0,Provincial
Prince Edward Island - Total,Self-Employed,2017-Q2,2017,2017-Q2,0.0,Provincial
Prince Edward Island - Total,Start-up Business,2017-Q2,2017,2017-Q2,,Provincial
Prince Edward Island - Total,Provincial Nominee Program,2017-Q2,2017,2017-Q2,775.0,Provincial
Prince Edward Island - Total,Temporary Resident to Permanent Resident Pathway,2017-Q2,2017,2017-Q2,0.0,Provincial
Prince Edward Island - Total,Sponsored Children,2017-Q2,2017,2017-Q2,10.0,Provincial
Prince Edward Island - Total,Sponsored Extended Family Member,2017-Q2,2017,2017-Q2,0.0,Provincial
Prince Edward Island - Total,Sponsored Parent or Grandparent,2017-Q2,2017,2017-Q2,40.0,Provincial
Prince Edward Island - Total,Sponsored Spouse or Partner,2017-Q2,2017,2017-Q2,170.0,Provincial
Prince Edward Island - Total,Blended Sponsorship Refugee,2017-Q2,2017,2017-Q2,5.0,Provincial
Prince Edward Island - Total,Government-Assisted Refugee,2017-Q2,2017,2017-Q2,60.0,Provincial
Prince Edward Island - Total,Privately Sponsored Refugee,2017-Q2,2017,2017-Q2,45.0,Provincial
Nova Scotia - Total,Agri-Food Pilot,2017-Q2,2017,2017-Q2,0.0,Provincial
Nova Scotia - Total,Atlantic Immigration Pilot Programs,2017-Q2,2017,2017-Q2,,Provincial
Nova Scotia - Total,Atlantic Immigration Programs,2017-Q2,2017,2017-Q2,0.0,Provincial
Nova Scotia - Total,Canadian Experience,2017-Q2,2017,2017-Q2,25.0,Provincial
Nova Scotia - Total,Caregiver,2017-Q2,2017,2017-Q2,10.0,Provincial
Nova Scotia - Total,Federal Economic Mobility Pathways Pilot,2017-Q2,2017,2017-Q2,0.0,Provincial
Nova Scotia - Total,Rural and Northern Immigration,2017-Q2,2017,2017-Q2,0.0,Provincial
Nova Scotia - Total,Skilled Trade,2017-Q2,2017,2017-Q2,0.0,Provincial
Nova Scotia - Total,Skilled Worker,2017-Q2,2017,2017-Q2,5.0,Provincial
Nova Scotia - Total,Self-Employed,2017-Q2,2017,2017-Q2,,Provincial
Nova Scotia - Total,Start-up Business,2017-Q2,2017,2017-Q2,0.0,Provincial
Nova Scotia - Total,Provincial Nominee Program,2017-Q2,2017,2017-Q2,790.0,Provincial
Nova Scotia - Total,Temporary Resident to Permanent Resident Pathway,2017-Q2,2017,2017-Q2,0.0,Provincial
Nova Scotia - Total,Sponsored Children,2017-Q2,2017,2017-Q2,5.0,Provincial
Nova Scotia - Total,Sponsored Extended Family Member,2017-Q2,2017,2017-Q2,,Provincial
Nova Scotia - Total,Sponsored Parent or Grandparent,2017-Q2,2017,2017-Q2,20.0,Provincial
Nova Scotia - Total,Sponsored Spouse or Partner,2017-Q2,2017,2017-Q2,80.0,Provincial
Nova Scotia - Total,Blended Sponsorship Refugee,2017-Q2,2017,2017-Q2,15.0,Provincial
Nova Scotia - Total,Government-Assisted Refugee,2017-Q2,2017,2017-Q2,145.0,Provincial
Nova Scotia - Total,Privately Sponsored Refugee,2017-Q2,2017,2017-Q2,5.0,Provincial
New Brunswick - Total,Canadian Experience,2017-Q2,2017,2017-Q2,0.0,Provincial
New Brunswick - Total,Caregiver,2017-Q2,2017,2017-Q2,210.0,Provincial
New Brunswick - Total,Skilled Worker,2017-Q2,2017,2017-Q2,8015.0,Provincial
New Brunswick - Total,Entrepreneur,2017-Q2,2017,2017-Q2,70.0,Provincial
New Brunswick - Total,Investor,2017-Q2,2017,2017-Q2,1260.0,Provincial
New Brunswick - Total,Self-Employed,2017-Q2,2017,2017-Q2,15.0,Provincial
New Brunswick - Total,Provincial Nominee Program,2017-Q2,2017,2017-Q2,0.0,Provincial
New Brunswick - Total,Sponsored Children,2017-Q2,2017,2017-Q2,200.0,Provincial
New Brunswick - Total,Sponsored Extended Family Member,2017-Q2,2017,2017-Q2,20.0,Provincial
New Brunswick - Total,Sponsored Parent or Grandparent,2017-Q2,2017,2017-Q2,735.0,Provincial
New Brunswick - Total,Sponsored Spouse or Partner,2017-Q2,2017,2017-Q2,2600.0,Provincial
New Brunswick - Total,Blended Sponsorship Refugee,2017-Q2,2017,2017-Q2,0.0,Provincial
New Brunswick - Total,Government-Assisted Refugee,2017-Q2,2017,2017-Q2,505.0,Provincial
New Brunswick - Total,Privately Sponsored Refugee,2017-Q2,2017,2017-Q2,1220.0,Provincial
Quebec - Total,Agri-Food Pilot,2017-Q2,2017,2017-Q2,0.0,Provincial
Quebec - Total,Canadian Experience,2017-Q2,2017,2017-Q2,3730.0,Provincial
Quebec - Total,Caregiver,2017-Q2,2017,2017-Q2,3315.0,Provincial
Quebec - Total,Federal Economic Mobility Pathways Pilot,2017-Q2,2017,2017-Q2,0.0,Provincial
Quebec - Total,Rural and Northern Immigration,2017-Q2,2017,2017-Q2,0.0,Provincial
Quebec - Total,Skilled Trade,2017-Q2,2017,2017-Q2,65.0,Provincial
Quebec - Total,Skilled Worker,2017-Q2,2017,2017-Q2,1915.0,Provincial
Quebec - Total,Entrepreneur,2017-Q2,2017,2017-Q2,,Provincial
Quebec - Total,Investor,2017-Q2,2017,2017-Q2,0.0,Provincial
